YYYYMMDDHH FOGO
2010121612 0
2010121618 5
2010121700 0
2010121706 0
2010121712 0
2010121718 0
2010121800 0
2010121806 0
2010121812 0
2010121818 3
2010121900 0
2010121906 0
2010121912 0
2010121918 0
2010122000 0
2010122006 0
2010122012 1
2010122018 4
2010122100 0
2010122106 0
2010122112 2
2010122118 0
2010122200 3
2010122206 0
2010122212 5
2010122218 7
2010122300 1
2010122306 0
2010122312 0
2010122318 0
2010122400 0
2010122406 0
2010122412 0
2010122418 0
2010122500 0
2010122506 0
2010122512 0
2010122518 0
2010122600 0
2010122606 0
2010122612 0
2010122618 0
2010122700 0
2010122706 0
2010122712 0
2010122718 0
2010122800 0
2010122806 0
2010122812 0
2010122818 0
2010122900 0
2010122906 0
2010122912 0
2010122918 0
2010123000 0
2010123006 0
2010123012 0
2010123018 0
2010123100 0
2010123106 0
2010123112 0
2010123118 0
2011010100 0
2011010106 0
2011010112 0
2011010118 0
2011010200 0
2011010206 0
2011010212 0
2011010218 0
2011010300 0
2011010306 0
2011010312 0
2011010318 0
2011010400 0
2011010406 0
2011010412 0
2011010418 0
2011010500 0
2011010506 0
2011010512 0
2011010518 0
2011010600 0
2011010606 0
2011010612 0
2011010618 0
2011010700 0
2011010706 0
2011010712 0
2011010718 0
2011010800 0
2011010806 0
2011010812 0
2011010818 1
2011010900 0
2011010906 0
2011010912 1
2011010918 0
2011011000 0
2011011006 0
2011011012 0
2011011018 7
2011011100 0
2011011106 0
2011011112 0
2011011118 0
2011011200 0
2011011206 0
2011011212 0
2011011218 0
2011011300 0
2011011306 0
2011011312 0
2011011318 0
2011011400 0
2011011406 0
2011011412 0
2011011418 0
2011011500 0
2011011506 0
2011011512 0
2011011518 0
2011011600 0
2011011606 0
2011011612 0
2011011618 0
2011011700 0
2011011706 0
2011011712 0
2011011718 0
2011011800 0
2011011806 0
2011011812 0
2011011818 0
2011011900 0
2011011906 0
2011011912 0
2011011918 9
2011012000 0
2011012006 0
2011012012 0
2011012018 1
2011012100 2
2011012106 0
2011012112 0
2011012118 0
2011012200 0
2011012206 0
2011012212 0
2011012218 0
2011012300 0
2011012306 0
2011012312 0
2011012318 2
2011012400 0
2011012406 0
2011012412 0
2011012418 4
2011012500 0
2011012506 0
2011012512 0
2011012518 0
2011012600 0
2011012606 0
2011012612 0
2011012618 5
2011012700 0
2011012706 0
2011012712 0
2011012718 0
2011012800 0
2011012806 0
2011012812 0
2011012818 2
2011012900 0
2011012906 0
2011012912 0
2011012918 0
2011013000 0
2011013006 0
2011013012 3
2011013018 1
2011013100 0
2011013106 0
2011013112 0
2011013118 1
2011020100 0
2011020106 0
2011020112 9
2011020118 1
2011020200 2
2011020206 1
2011020212 0
2011020218 0
2011020300 0
2011020306 0
2011020312 1
2011020318 4
2011020400 3
2011020406 0
2011020412 0
2011020418 9
2011020500 1
2011020506 0
2011020512 2
2011020518 2
2011020600 0
2011020606 1
2011020612 1
2011020618 1
2011020700 1
2011020706 0
2011020712 0
2011020718 0
2011020800 0
2011020806 0
2011020812 4
2011020818 2
2011020900 2
2011020906 3
2011020912 0
2011020918 1
2011021000 0
2011021006 0
2011021012 1
2011021018 0
2011021100 0
2011021106 0
2011021112 1
2011021118 1
2011021200 0
2011021206 0
2011021212 0
2011021218 0
2011021300 0
2011021306 0
2011021312 0
2011021318 3
2011021400 0
2011021406 0
2011021412 0
2011021418 0
2011021500 0
2011021506 0
2011021512 0
2011021518 1
2011021600 4
2011021606 0
2011021612 0
2011021618 0
2011021700 0
