YYYYMMDDHH air2m
2001010218 294.856
2001010300 292.553
2001010306 295.165
2001010312 300.142
2001010318 294.511
2001010400 292.486
2001010406 294.968
2001010412 299.164
2001010418 293.879
2001010500 291.813
2001010506 294.804
2001010512 299.775
2001010518 293.714
2001010600 291.969
2001010606 295.245
2001010612 300.243
2001010618 294.126
2001010700 291.78
2001010706 295.579
2001010712 300.087
2001010718 294.436
2001010800 292.032
2001010806 295.624
2001010812 300.933
2001010818 294.511
2001010900 292.074
2001010906 295.635
2001010912 299.717
2001010918 294.436
2001011000 292.445
2001011006 295.049
2001011012 298.647
2001011018 293.969
2001011100 291.456
2001011106 293.957
2001011112 298.782
2001011118 293.625
2001011200 291.368
2001011206 294.403
2001011212 298.993
2001011218 293.877
2001011300 291.744
2001011306 294.014
2001011312 297.145
2001011318 292.991
2001011400 290.38
2001011406 292.647
2001011412 297.3
2001011418 292.648
2001011500 290.858
2001011506 293.268
2001011512 297.756
2001011518 293.337
2001011600 291.157
2001011606 293.848
2001011612 298.111
2001011618 293.336
2001011700 290.969
2001011706 294.181
2001011712 298.014
2001011718 293.304
2001011800 290.925
2001011806 294.116
2001011812 298.746
2001011818 293.637
2001011900 290.927
2001011906 294.058
2001011912 299.669
2001011918 293.857
2001012000 291.756
2001012006 294.98
2001012012 300.391
2001012018 294.802
